PERMNO,date,TICKER,RET
10107,2017-01-31,MSFT,0.040393
10107,2017-02-28,MSFT,-0.004331
10107,2017-03-31,MSFT,0.029384
10107,2017-04-28,MSFT,0.039478
10107,2017-05-31,MSFT,0.025854
10107,2017-06-30,MSFT,-0.013030
10107,2017-07-31,MSFT,0.054693
10107,2017-08-31,MSFT,0.033838
10107,2017-09-29,MSFT,-0.003745
10107,2017-10-31,MSFT,0.116660
10107,2017-11-30,MSFT,0.016951
10107,2017-12-29,MSFT,0.016277
10107,2018-01-31,MSFT,0.110708
10107,2018-02-28,MSFT,-0.008631
10107,2018-03-29,MSFT,-0.026661
10107,2018-04-30,MSFT,0.024652
10107,2018-05-31,MSFT,0.061377
10107,2018-06-29,MSFT,-0.002327
10107,2018-07-31,MSFT,0.075753
10107,2018-08-31,MSFT,0.062877
10107,2018-09-28,MSFT,0.018161
10107,2018-10-31,MSFT,-0.066101
10107,2018-11-30,MSFT,0.042505
10107,2018-12-31,MSFT,-0.084047
10107,2019-01-31,MSFT,0.028158
10107,2019-02-28,MSFT,0.077181
10107,2019-03-29,MSFT,0.052754
10107,2019-04-30,MSFT,0.107343
10107,2019-05-31,MSFT,-0.049464
10107,2019-06-28,MSFT,0.083118
10107,2019-07-31,MSFT,0.017244
10107,2019-08-30,MSFT,0.015044
10107,2019-09-30,MSFT,0.008487
10107,2019-10-31,MSFT,0.031216
10107,2019-11-29,MSFT,0.059427
10107,2019-12-31,MSFT,0.041749
10107,2020-01-31,MSFT,0.079455
10107,2020-02-28,MSFT,-0.045292
10107,2020-03-31,MSFT,-0.026541
10107,2020-04-30,MSFT,0.136326
10107,2020-05-29,MSFT,0.025389
10107,2020-06-30,MSFT,0.110559
10107,2020-07-31,MSFT,0.007371
10107,2020-08-31,MSFT,0.102580
10107,2020-09-30,MSFT,-0.067397
10107,2020-10-30,MSFT,-0.037370
10107,2020-11-30,MSFT,0.060058
10107,2020-12-31,MSFT,0.039006
10107,2021-01-29,MSFT,0.042892
10107,2021-02-26,MSFT,0.004225
10107,2021-03-31,MSFT,0.014588
10107,2021-04-30,MSFT,0.069602
10107,2021-05-28,MSFT,-0.007693
10107,2021-06-30,MSFT,0.084989
10107,2021-07-30,MSFT,0.051717
10107,2021-08-31,MSFT,0.061528
10107,2021-09-30,MSFT,-0.066119
10107,2021-10-29,MSFT,0.176291
10107,2021-11-30,MSFT,-0.001236
10107,2021-12-31,MSFT,0.017333
10107,2022-01-31,MSFT,-0.075345
10107,2022-02-28,MSFT,-0.037205
10107,2022-03-31,MSFT,0.031862
10107,2022-04-29,MSFT,-0.099867
10107,2022-05-31,MSFT,-0.018125
10107,2022-06-30,MSFT,-0.055321
10107,2022-07-29,MSFT,0.093097
10107,2022-08-31,MSFT,-0.066432
10107,2022-09-30,MSFT,-0.109267
10107,2022-10-31,MSFT,-0.003306
10107,2022-11-30,MSFT,0.102055
10107,2022-12-30,MSFT,-0.060045
11850,2017-01-31,XOM,-0.070574
11850,2017-02-28,XOM,-0.021695
11850,2017-03-31,XOM,0.008485
11850,2017-04-28,XOM,-0.004390
11850,2017-05-31,XOM,-0.004654
11850,2017-06-30,XOM,0.002857
11850,2017-07-31,XOM,-0.008547
11850,2017-08-31,XOM,-0.036732
11850,2017-09-29,XOM,0.074021
11850,2017-10-31,XOM,0.016711
11850,2017-11-30,XOM,0.008518
11850,2017-12-29,XOM,0.004202
11850,2018-01-31,XOM,0.043759
11850,2018-02-28,XOM,-0.123597
11850,2018-03-29,XOM,-0.014919
11850,2018-04-30,XOM,0.042086
11850,2018-05-31,XOM,0.055434
11850,2018-06-29,XOM,0.018341
11850,2018-07-31,XOM,-0.014747
11850,2018-08-31,XOM,-0.006380
11850,2018-09-28,XOM,0.060496
11850,2018-10-31,XOM,-0.062809
11850,2018-11-30,XOM,0.008032
11850,2018-12-31,XOM,-0.142264
11850,2019-01-31,XOM,0.074644
11850,2019-02-28,XOM,0.089656
11850,2019-03-29,XOM,0.022397
11850,2019-04-30,XOM,-0.006436
11850,2019-05-31,XOM,-0.107623
11850,2019-06-28,XOM,0.082803
11850,2019-07-31,XOM,-0.029623
11850,2019-08-30,XOM,-0.067375
11850,2019-09-30,XOM,0.031104
11850,2019-10-31,XOM,-0.043053
11850,2019-11-29,XOM,0.021163
11850,2019-12-31,XOM,0.024218
11850,2020-01-31,XOM,-0.109774
11850,2020-02-28,XOM,-0.157920
11850,2020-03-31,XOM,-0.261858
11850,2020-04-30,XOM,0.223861
11850,2020-05-29,XOM,-0.002798
11850,2020-06-30,XOM,-0.016494
11850,2020-07-31,XOM,-0.059034
11850,2020-08-31,XOM,-0.030181
11850,2020-09-30,XOM,-0.140461
11850,2020-10-30,XOM,-0.049811
11850,2020-11-30,XOM,0.195586
11850,2020-12-31,XOM,0.081039
11850,2021-01-29,XOM,0.087821
11850,2021-02-26,XOM,0.231936
11850,2021-03-31,XOM,0.026853
11850,2021-04-30,XOM,0.025255
11850,2021-05-28,XOM,0.034941
11850,2021-06-30,XOM,0.080692
11850,2021-07-30,XOM,-0.087349
11850,2021-08-31,XOM,-0.037867
11850,2021-09-30,XOM,0.078870
11850,2021-10-29,XOM,0.096056
11850,2021-11-30,XOM,-0.058167
11850,2021-12-31,XOM,0.022560
11850,2022-01-31,XOM,0.241379
11850,2022-02-28,XOM,0.043970
11850,2022-03-31,XOM,0.053175
11850,2022-04-29,XOM,0.032207
11850,2022-05-31,XOM,0.136422
11850,2022-06-30,XOM,-0.107917
11850,2022-07-29,XOM,0.131831
11850,2022-08-31,XOM,-0.004746
11850,2022-09-30,XOM,-0.086620
11850,2022-10-31,XOM,0.269156
11850,2022-11-30,XOM,0.012995
11850,2022-12-30,XOM,-0.009341
76892,2017-01-31,BOKF,-0.009634
76892,2017-02-28,BOKF,0.008025
76892,2017-03-31,BOKF,-0.050813
76892,2017-04-28,BOKF,0.076913
76892,2017-05-31,BOKF,-0.039388
76892,2017-06-30,BOKF,0.044704
76892,2017-07-31,BOKF,0.011173
76892,2017-08-31,BOKF,-0.048783
76892,2017-09-29,BOKF,0.106859
76892,2017-10-31,BOKF,-0.029300
76892,2017-11-30,BOKF,0.034463
76892,2017-12-29,BOKF,0.037303
76892,2018-01-31,BOKF,0.047335
76892,2018-02-28,BOKF,-0.018513
76892,2018-03-29,BOKF,0.048068
76892,2018-04-30,BOKF,0.017072
76892,2018-05-31,BOKF,0.007151
76892,2018-06-29,BOKF,-0.068747
76892,2018-07-31,BOKF,0.035315
76892,2018-08-31,BOKF,0.058769
76892,2018-09-28,BOKF,-0.051390
76892,2018-10-31,BOKF,-0.118729
76892,2018-11-30,BOKF,-0.010848
76892,2018-12-31,BOKF,-0.130130
76892,2019-01-31,BOKF,0.133370
76892,2019-02-28,BOKF,0.094213
76892,2019-03-29,BOKF,-0.098297
76892,2019-04-30,BOKF,0.068547
76892,2019-05-31,BOKF,-0.134381
76892,2019-06-28,BOKF,0.007340
76892,2019-07-31,BOKF,0.108638
76892,2019-08-30,BOKF,-0.084130
76892,2019-09-30,BOKF,0.039532
76892,2019-10-31,BOKF,-0.025268
76892,2019-11-29,BOKF,0.086844
76892,2019-12-31,BOKF,0.048716
76892,2020-01-31,BOKF,-0.097254
76892,2020-02-28,BOKF,-0.075919
76892,2020-03-31,BOKF,-0.412155
76892,2020-04-30,BOKF,0.216870
76892,2020-05-29,BOKF,-0.006565
76892,2020-06-30,BOKF,0.107970
76892,2020-07-31,BOKF,-0.013111
76892,2020-08-31,BOKF,0.017056
76892,2020-09-30,BOKF,-0.082472
76892,2020-10-30,BOKF,0.140361
76892,2020-11-30,BOKF,0.148621
76892,2020-12-31,BOKF,0.022853
76892,2021-01-29,BOKF,0.078563
76892,2021-02-26,BOKF,0.172218
76892,2021-03-31,BOKF,0.037881
76892,2021-04-30,BOKF,-0.015450
76892,2021-05-28,BOKF,0.041164
76892,2021-06-30,BOKF,-0.048770
76892,2021-07-30,BOKF,-0.029908
76892,2021-08-31,BOKF,0.054279
76892,2021-09-30,BOKF,0.017036
76892,2021-10-29,BOKF,0.129760
76892,2021-11-30,BOKF,0.025403
76892,2021-12-31,BOKF,0.022091
76892,2022-01-31,BOKF,-0.027870
76892,2022-02-28,BOKF,0.006631
76892,2022-03-31,BOKF,-0.085200
76892,2022-04-29,BOKF,-0.117296
76892,2022-05-31,BOKF,0.045460
76892,2022-06-30,BOKF,-0.122897
76892,2022-07-29,BOKF,0.164726
76892,2022-08-31,BOKF,0.015563
76892,2022-09-30,BOKF,-0.000113
76892,2022-10-31,BOKF,0.240041
76892,2022-11-30,BOKF,-0.044832
76892,2022-12-30,BOKF,-0.008786
84788,2017-01-31,AMZN,0.098164
84788,2017-02-28,AMZN,0.026182
84788,2017-03-31,AMZN,0.049110
84788,2017-04-28,AMZN,0.043371
84788,2017-05-31,AMZN,0.075276
84788,2017-06-30,AMZN,-0.026764
84788,2017-07-31,AMZN,0.020434
84788,2017-08-31,AMZN,-0.007269
84788,2017-09-29,AMZN,-0.019631
84788,2017-10-31,AMZN,0.149717
84788,2017-11-30,AMZN,0.064662
84788,2017-12-29,AMZN,-0.006187
84788,2018-01-31,AMZN,0.240639
84788,2018-02-28,AMZN,0.042429
84788,2018-03-29,AMZN,-0.043049
84788,2018-04-30,AMZN,0.082075
84788,2018-05-31,AMZN,0.040539
84788,2018-06-29,AMZN,0.043065
84788,2018-07-31,AMZN,0.045676
84788,2018-08-31,AMZN,0.132365
84788,2018-09-28,AMZN,-0.004824
84788,2018-10-31,AMZN,-0.202192
84788,2018-11-30,AMZN,0.057672
84788,2018-12-31,AMZN,-0.111350
84788,2019-01-31,AMZN,0.144317
84788,2019-02-28,AMZN,-0.045906
84788,2019-03-29,AMZN,0.085936
84788,2019-04-30,AMZN,0.081859
84788,2019-05-31,AMZN,-0.078613
84788,2019-06-28,AMZN,0.066792
84788,2019-07-31,AMZN,-0.014179
84788,2019-08-30,AMZN,-0.048474
84788,2019-09-30,AMZN,-0.022733
84788,2019-10-31,AMZN,0.023475
84788,2019-11-29,AMZN,0.013587
84788,2019-12-31,AMZN,0.026122
84788,2020-01-31,AMZN,0.087064
84788,2020-02-28,AMZN,-0.062214
84788,2020-03-31,AMZN,0.035021
84788,2020-04-30,AMZN,0.268900
84788,2020-05-29,AMZN,-0.012785
84788,2020-06-30,AMZN,0.129567
84788,2020-07-31,AMZN,0.147114
84788,2020-08-31,AMZN,0.090461
84788,2020-09-30,AMZN,-0.087579
84788,2020-10-30,AMZN,-0.035754
84788,2020-11-30,AMZN,0.043440
84788,2020-12-31,AMZN,0.028058
84788,2021-01-29,AMZN,-0.015576
84788,2021-02-26,AMZN,-0.035328
84788,2021-03-31,AMZN,0.000372
84788,2021-04-30,AMZN,0.120663
84788,2021-05-28,AMZN,-0.070470
84788,2021-06-30,AMZN,0.067355
84788,2021-07-30,AMZN,-0.032722
84788,2021-08-31,AMZN,0.043034
84788,2021-09-30,AMZN,-0.053518
84788,2021-10-29,AMZN,0.026602
84788,2021-11-30,AMZN,0.039924
84788,2021-12-31,AMZN,-0.049252
84788,2022-01-31,AMZN,-0.102830
84788,2022-02-28,AMZN,0.026673
84788,2022-03-31,AMZN,0.061437
84788,2022-04-29,AMZN,-0.237525
84788,2022-05-31,AMZN,-0.032764
84788,2022-06-30,AMZN,-0.116459
84788,2022-07-29,AMZN,0.270596
84788,2022-08-31,AMZN,-0.060615
84788,2022-09-30,AMZN,-0.108622
84788,2022-10-31,AMZN,-0.093451
84788,2022-11-30,AMZN,-0.057595
84788,2022-12-30,AMZN,-0.129894
